Commit: 5e2adc0ed7dfe2e827bdef878f1c8cde12ff5773, AN: Christopher L. Shannon (cshannon), AD: 2018-03-09, CN: Christopher L. Shannon (cshannon), CD: 2018-03-09, AMQ-6924-Fix-StoreDurableSubscriberCursor-non-persistent-message-add
Commit: 0bb4a5c3ab43b0f10f4a255f134de5b8533eb67d, AN: Timothy Bish, AD: 2018-03-02, CN: Timothy Bish, CD: 2018-03-02, AMQ-6909-Update-Qpid-JMS-to-0.30.0-release-and-Proton-j-to-0.26.0
Commit: 060817552de9b8f2f1c66a3146f74c51233f943c, AN: gtully, AD: 2018-03-02, CN: gtully, CD: 2018-03-02, AMQ-4261-use-WARN-level-for-producer-flow-control-events-DEBUG-if-blockedProducerWarningInterval-0
Commit: b57f4f3211502d1cfe2f8e236665e07b22af9bbf, AN: gtully, AD: 2018-03-01, CN: gtully, CD: 2018-03-01, no-jira-extend-the-timeout-b-c-it-was-on-the-margins
Commit: 82c9f9531ecce01d56de0ac24f930d8f86f4721f, AN: gtully, AD: 2018-02-28, CN: gtully, CD: 2018-02-28, AMQ-6907-add-selectorAware-option-to-conditionalNetworkBridgeFilterFactory-such-that-replay-back-to-origin-can-happen-if-there-are-no-matching-local-consumers
Commit: efaf9cd77e35e1f811708a7a38bab348b003eeef, AN: gtully, AD: 2018-02-28, CN: gtully, CD: 2018-02-28, AMQ-6906-jdbc-store-ensure-rolled-back-prepared-ack-messages-are-recovered-asap
Commit: 703b7b151017fe117363e5598146e157bad78265, AN: Christopher L. Shannon (cshannon), AD: 2018-02-16, CN: Christopher L. Shannon (cshannon), CD: 2018-02-16, AMQ-6901-Add-NPE-check-inside-DestinationMap-filter
Commit: 2ce1c1352fb64ecf1d3018e2b0f7cabeba99b589, AN: Christopher L. Shannon (cshannon), AD: 2018-02-16, CN: Christopher L. Shannon (cshannon), CD: 2018-02-16, AMQ-6901-Make-sure-proper-policy-is-used-to-configure-a-destination
Commit: 0785029b88f83e7549d832a0b060203b92975ae7, AN: Claus Ibsen, AD: 2018-02-01, CN: Claus Ibsen, CD: 2018-02-01, Upgrade-Apache-Camel-to-2.20.2
Commit: dd2572bcb1c3793a8a2fa19cc4fc88cc8481f96e, AN: gtully, AD: 2018-01-30, CN: gtully, CD: 2018-01-30, AMQ-6891-test-and-fix-non-tx-variant-of-this-leak
Commit: 80ef6d31290fa3d719b82a53462b8761d9b744ec, AN: Christopher L. Shannon (cshannon), AD: 2018-01-29, CN: Christopher L. Shannon (cshannon), CD: 2018-01-29, Revert-no-jira-add-targetNamespace-for-karaf-features
